{'it': 61, 'wall': 395.4, 'records': 803, 'policy_loss': 3.7655, 'value_loss': 0.001, 'ep_len': 40.1, 'fresh_rows': 27918, 'hit_rows': 10723}
{'it': 62, 'wall': 402.5, 'records': 769, 'policy_loss': 3.6454, 'value_loss': 0.0238, 'ep_len': 36.6, 'fresh_rows': 28464, 'hit_rows': 9857}
{'it': 63, 'wall': 409.5, 'records': 808, 'policy_loss': 3.7088, 'value_loss': 0.0033, 'ep_len': 44.9, 'fresh_rows': 30471, 'hit_rows': 11572}
{'it': 64, 'wall': 414.9, 'records': 780, 'policy_loss': 3.928, 'value_loss': 0.0023, 'ep_len': 45.9, 'fresh_rows': 24411, 'hit_rows': 7869}
{'it': 65, 'wall': 421.9, 'records': 825, 'policy_loss': 3.8658, 'value_loss': 0.0024, 'ep_len': 45.8, 'fresh_rows': 29254, 'hit_rows': 10140}
{'it': 66, 'wall': 429.3, 'records': 803, 'policy_loss': 3.8614, 'value_loss': 0.0015, 'ep_len': 42.3, 'fresh_rows': 31171, 'hit_rows': 9577}
{'it': 67, 'wall': 435.0, 'records': 805, 'policy_loss': 3.7347, 'value_loss': 0.0013, 'ep_len': 40.2, 'fresh_rows': 26368, 'hit_rows': 8556}
{'it': 68, 'wall': 441.4, 'records': 772, 'policy_loss': 3.6674, 'value_loss': 0.0008, 'ep_len': 35.1, 'fresh_rows': 27322, 'hit_rows': 9155}
{'it': 69, 'wall': 448.1, 'records': 793, 'policy_loss': 3.587, 'value_loss': 0.0011, 'ep_len': 34.5, 'fresh_rows': 27702, 'hit_rows': 10199}
{'it': 70, 'wall': 454.2, 'records': 813, 'policy_loss': 3.7179, 'value_loss': 0.0011, 'ep_len': 35.3, 'fresh_rows': 26664, 'hit_rows': 10029}
{'it': 71, 'wall': 460.2, 'records': 771, 'policy_loss': 3.708, 'value_loss': 0.0006, 'ep_len': 35.0, 'fresh_rows': 26888, 'hit_rows': 9849}
{'it': 72, 'wall': 466.9, 'records': 768, 'policy_loss': 3.715, 'value_loss': 0.0006, 'ep_len': 32.0, 'fresh_rows': 29058, 'hit_rows': 8911}
{'it': 73, 'wall': 473.3, 'records': 805, 'policy_loss': 3.6938, 'value_loss': 0.0006, 'ep_len': 33.5, 'fresh_rows': 29518, 'hit_rows': 9246}
{'it': 74, 'wall': 480.0, 'records': 772, 'policy_loss': 3.8564, 'value_loss': 0.0006, 'ep_len': 40.6, 'fresh_rows': 28126, 'hit_rows': 9893}
{'it': 75, 'wall': 485.6, 'records': 771, 'policy_loss': 3.5638, 'value_loss': 0.0006, 'ep_len': 36.7, 'fresh_rows': 25145, 'hit_rows': 8313}
{'it': 76, 'wall': 492.8, 'records': 780, 'policy_loss': 3.793, 'value_loss': 0.0008, 'ep_len': 39.0, 'fresh_rows': 28980, 'hit_rows': 10825}
{'it': 77, 'wall': 499.2, 'records': 785, 'policy_loss': 3.7039, 'value_loss': 0.001, 'ep_len': 39.2, 'fresh_rows': 24957, 'hit_rows': 9810}
